"filename", "language", "CSS", "comment", "blank", "total"
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\shopEditPage.css", "CSS", -1, 0, 0, -1
"Total", "-", -1, 0, 0, -1
