"filename", "language", "CSS", "Python", "HTML", "JavaScript", "Markdown", "pip requirements", "SQL", "JSON", "comment", "blank", "total"
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\index_nav.js", "JavaScript", 0, 0, 0, 136, 0, 0, 0, 0, 8, 7, 151
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\item.js", "JavaScript", 0, 0, 0, 139, 0, 0, 0, 0, 0, 5, 144
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\maps.js", "JavaScript", 0, 0, 0, 129, 0, 0, 0, 0, 7, 15, 151
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\menu.js", "JavaScript", 0, 0, 0, 57, 0, 0, 0, 0, 137, 3, 197
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\store.js", "JavaScript", 0, 0, 0, 75, 0, 0, 0, 0, 0, 10, 85
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\tappay.js", "JavaScript", 0, 0, 0, 136, 0, 0, 0, 0, 5, 16, 157
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\base.html", "HTML", 0, 0, 61, 0, 0, 0, 0, 0, 0, 5, 66
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\deleverfile.html", "HTML", 0, 0, 56, 0, 0, 0, 0, 0, 0, 5, 61
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\deleverpage.html", "HTML", 0, 0, 78, 0, 0, 0, 0, 0, 0, 2, 80
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\index.html", "HTML", 0, 0, 137, 0, 0, 0, 0, 0, 2, 3, 142
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\itemPage.html", "HTML", 0, 0, 51, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\merchantfile.html", "HTML", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 130
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\merchantpage.html", "HTML", 0, 0, 63, 0, 0, 0, 0, 0, 0, 6, 69
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\payment.html", "HTML", 0, 0, 87, 0, 0, 0, 0, 0, 1, 2, 90
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\thankyou.html", "HTML", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 86
"Total", "-", 1325, 680, 749, 1532, 10, 69, 162, 10075, 380, 247, 15229
